angle,peak_position,std,gauss_center,centroid,temp,humid
49.99999,715.2462244999999,15.87769317177166,3693.156655,650.3829305000002,22.68,51.5
49.0,687.2660725000001,0.8416044730862614,3701.6157900000007,673.0953314999999,22.62,51.5
48.0,692.3841599999998,0.6934096097545804,3697.9882000000007,695.8926309999999,22.68,51.5
47.00001,720.0101229999999,0.6837726382073103,3670.292575000001,729.9453835000002,22.62,51.5
46.00001,771.482912,0.6103201121837368,3624.0102999999995,781.308831,22.62,51.4
45.00002,840.4682555000002,0.5693237075028201,3551.39564,851.5422060000001,22.62,51.5
44.00002,941.5682770000001,0.557697917551251,3452.7753300000004,946.3868974999999,22.62,51.4
43.00003,1070.9035,0.773676576484015,3328.2187099999996,1067.0336100000002,22.62,51.5
42.00003,1235.4704649999999,0.8484631602344226,3163.5034400000004,1187.26402,22.62,51.5
41.00004,1426.024875,0.9499609749221614,2990.797065,1263.50391,22.62,51.5
40.00004,1632.1382749999998,0.7611071953904168,2874.0760450000002,1277.9395350000002,22.62,51.5
39.00005,1846.789945,0.8075310015565683,2747.7937799999995,1244.266875,22.62,51.3
38.00005,2062.9968450000006,1.1704236662315979,3061.519145,1138.3999000000001,22.62,51.5
37.00006,2352.9412149999994,0.8312304495596123,3743.099005,688.3429300000001,22.62,51.4
36.00006,2479.2097650000005,1.2793802410835349,4389.40127,5.844909780585,22.62,51.4
35.00007,-2492.945085,14.164755992295616,4367.254915,28.839660900000002,22.62,51.3
34.00007,-587.7879999999999,5.709408478057073,3672.4366899999995,701.0366105,22.62,51.3
33.00008,-420.17160699999994,175.85425328136006,4024.7807250000005,419.7188955,22.62,51.3
32.00008,-294.52814000000006,8.589327039926939,4331.0764,202.987806,22.62,51.2
31.00009,-144.75782399999997,4.653668860197726,4419.492585,94.76002205,22.62,51.1
30.00009,14.271643199999996,9.116728463713615,4396.506015,83.01077950000001,22.62,51.2
29.0001,83.1994023,1.8429466125008922,4339.113345,96.9583855,22.62,51.1
28.0001,93.77237475,1.1461420264276516,4284.720200000001,130.80238074999997,22.62,51.1
27.00011,182.5291635,8.572294139360986,4243.1065,158.781042,22.62,51.2
26.00011,157.0044785,1.5841379878384174,4214.88082,182.09525200000002,22.62,51.2
25.00012,151.804381,1.4472598601837223,4190.14413,203.907558,22.68,51.1
24.00012,154.26624700000002,1.90828451472284,4169.642089999999,226.2004745,22.62,51.1
23.00013,123.935022,1.0957181058219294,4161.2383,236.470642,22.62,51.0
22.00013,104.40147700000003,1.3848908228569847,4150.023615,247.57367000000005,22.62,51.1
21.00014,356.7142705,7.0097358051409255,4148.0699,250.584044,22.62,51.2
20.00014,40.547448,1.4585986932585997,4144.965665,252.41241399999998,22.62,51.1
19.00015,188.759436,2.1442844074571856,4142.699680000001,255.539464,22.62,51.0
18.00015,299.4205215,2.388203924113844,4144.577375,255.10032900000002,22.62,51.0
17.00016,297.4467685,2.4497183600187062,4139.1433799999995,259.54168549999997,22.62,51.0
16.00016,172.396058,0.7638819322356023,4145.83325,253.98026150000004,22.62,51.0
15.00017,258.708166,1.9897388025100167,4141.90715,257.3778695,22.62,51.0
14.00017,181.63021149999997,9.028008567945797,4143.660470000001,255.42720949999998,22.62,51.0
13.00018,215.6785515,3.5238473253764493,4144.848075,251.25489499999998,22.62,51.0
12.00018,156.6244255,3.575394682924497,4149.9507300000005,252.95233049999996,22.62,51.0
11.00019,229.26580700000005,1.4163658646695092,4157.352475,242.40801900000002,22.62,51.1
10.00019,-19.622448800000004,1.219780633160471,4172.653139999999,228.85530950000003,22.62,50.9
9.0002,129.08196975,1.263851982067597,4188.317604999999,211.487658,22.62,51.0
8.0002,72.18449705,108.70321418207165,4201.12753,197.9158095,22.62,50.9
