angle,peak_position,std,temp,humid
40.0,3916.20758,3.6523694393640347,25.31,42.6
39.5,3918.8947399999997,1.4614849374523156,25.31,42.5
39.00001,3930.8813200000004,0.9179564333889124,25.31,42.6
38.50001,3931.42618,2.1159301825910353,25.31,42.6
38.00001,3936.08098,1.1281200031911367,25.31,42.7
37.50002,3941.3145400000003,1.8762337440735921,25.31,42.7
37.00002,3943.9059399999996,2.2377120803177477,25.31,42.7
36.50002,3949.76426,2.6601249200742947,25.31,42.6
36.00002,3959.4946599999994,0.9948238951693776,25.31,42.6
35.50002,3959.2748399999996,3.1380043222405027,25.31,42.6
35.00003,3968.83088,2.1831979217652653,25.31,42.6
34.50003,3967.010219999999,1.0432094830856318,25.25,42.6
34.00003,3974.26804,2.3558216474087343,25.25,42.7
33.50003,3978.88476,1.3617610783100087,25.31,42.6
33.00004,3981.92056,3.9979242677168685,25.25,42.7
32.50004,3988.13984,1.2763094759500035,25.25,42.7
32.00004,3989.49766,1.2005394647407674,25.25,42.7
31.50004,3995.28634,1.9714883064323967,25.25,42.8
31.00005,3999.5512000000003,1.5628285293018627,25.25,42.7
30.50005,3999.86584,0.8363458055133483,25.25,42.7
30.00005,4004.43756,1.2947906496418875,25.25,42.8
29.50006,4015.8713000000002,1.7469822025425161,25.25,42.7
29.00006,4014.0381,1.5328247975551919,25.25,42.7
28.50006,4022.09458,1.7708511291466413,25.25,42.7
28.00006,4022.89044,1.5271389518966338,25.25,42.7
27.50006,4030.3961000000004,1.861217411266079,25.25,42.7
27.00007,4032.0400799999998,0.9866267732025663,25.31,42.6
26.50007,4039.45604,3.031207805875416,25.25,42.7
26.00007,4038.39232,2.4997702289610073,25.25,42.7
25.50007,4045.90564,1.3887472104022338,25.25,42.7
25.00008,4046.0939,1.2897463967772667,25.25,42.7
24.50008,4054.9931800000004,1.6463196292335993,25.31,42.7
24.00008,4056.9550000000004,1.3448372407098068,25.25,42.7
23.50008,4057.5538400000005,2.3999376205226586,25.25,42.7
23.00009,4066.8268799999996,1.0856539069150768,25.25,42.8
22.50009,4068.91226,1.777925042964455,25.25,42.8
22.00009,4073.83142,2.064700078364867,25.25,42.8
21.50009,4072.0687,1.0428831497343982,25.25,42.8
21.0001,4077.1442199999997,2.5647950728274576,25.25,42.9
20.5001,4085.1776400000003,1.8762191104451422,25.25,42.8
20.0001,4085.4255999999996,2.0112109765014385,25.25,42.9
19.5001,4091.10748,1.1272925909451241,25.25,42.9
19.00011,4092.28346,0.5089996762277897,25.25,42.9
18.50011,4097.7412,1.4358313828580325,25.25,42.9
18.00011,4097.27928,1.8769934761740354,25.25,43.0
17.50011,4102.80658,1.235369571262061,25.25,43.0
17.00012,4107.80804,1.2437497265930795,25.25,43.0
16.50012,4109.8543,1.0208268766054158,25.25,43.1
16.00012,4115.69444,1.0594307482795857,25.25,43.2
15.50012,4112.43228,2.5800336008664115,25.25,43.1
15.00013,4122.457359999999,2.5414421044752475,25.25,43.2
14.50013,4120.533739999999,1.9757650736867316,25.25,43.1
14.00013,4130.512200000001,1.2712840264864467,25.25,43.2
13.50013,4132.5491999999995,1.4679370272596177,25.25,43.1
13.00014,4131.914040000001,0.8461654155069058,25.25,43.0
12.50014,4138.1743,1.8342126354379962,25.25,43.0
12.00014,4137.608160000001,1.355147297676319,25.25,43.1
11.50014,4144.894740000001,0.6805311942886454,25.25,43.1
11.00015,4147.37834,1.3336406616478187,25.25,43.1
10.50015,4149.56374,1.2399367203208989,25.25,43.0
10.00015,4156.026919999999,1.7156408136905286,25.25,43.0
9.50015,4156.209220000001,1.691868092257827,25.25,43.0
9.00016,4156.3052800000005,2.5441242920895433,25.25,43.0
8.50016,4164.23502,1.1182430655273397,25.25,42.9
8.00016,4166.54514,1.7987094702592772,25.25,42.9
7.50016,4172.041160000001,1.472816668292546,25.25,42.9
7.00017,4169.19596,2.019145762544454,25.25,42.9
6.50017,4172.78874,2.0523094675024525,25.25,42.8
6.00017,4176.06098,1.8533313383203098,25.25,42.9
5.50017,4179.1684000000005,1.246763425835167,25.25,42.8
5.00018,4182.20752,1.244394585973453,25.25,42.8
4.50018,4186.36316,1.652105451355745,25.25,42.8
4.00018,4191.61278,1.385352279241567,25.25,42.8
3.50018,4188.80756,1.1689760110453502,25.31,42.7
3.00019,4196.53588,0.5880151134110267,25.25,42.7
2.50019,4196.62478,1.4898982896828796,25.31,42.7
2.00019,4201.276,1.2832801705005008,25.31,42.8
1.50019,4201.688660000001,1.8186441472699577,25.31,42.7
1.0002,4207.179000000001,1.584022696807156,25.31,42.8
0.5002,4207.1059399999995,2.077057850518295,25.31,42.8
0.0002,4213.26378,1.730871353278268,25.31,42.7
-0.4998,4215.999580000001,2.6304930225339143,25.31,42.8
-0.9998,4219.830980000001,1.1238552013494463,25.31,42.7
-1.49979,4220.27072,2.4835359779154915,25.31,42.7
-1.99979,4227.37586,2.2431437266479346,25.31,42.7
-2.49979,4224.07828,0.8950253390824878,25.31,42.8
-2.99979,4233.35218,1.9130652381975477,25.31,42.8
-3.49978,4235.01284,1.5170297935108463,25.31,42.8
-3.99978,4237.258599999999,3.0277649030265468,25.31,42.7
-4.49978,4244.34292,1.7210325219472888,25.31,42.7
-4.99978,4240.6221399999995,1.7893102666670777,25.31,42.7
-5.49977,4247.3047400000005,1.2045697598727303,25.31,42.7
-5.99977,4248.5509999999995,1.4948151671694176,25.31,42.8
-6.49977,4252.55626,1.4811299843024537,25.31,42.8
-6.99977,4254.084519999999,1.0133846247106804,25.31,42.9
-7.49976,4258.431060000001,1.669305021378421,25.31,42.9
-7.99976,4259.085779999999,0.6003440027185573,25.31,42.9
-8.49976,4264.42266,2.519590471168149,25.31,43.0
-8.99976,4268.49308,0.9723310596705699,25.31,43.0
-9.49975,4267.14044,1.3913786294177646,25.37,43.1
-9.99975,4275.72228,3.8384041691308246,25.31,43.1
-10.49975,4273.08904,2.04762483438729,25.31,43.1
-10.99975,4278.94908,1.798718128445744,25.37,43.1
-11.49974,4281.01518,1.4075979147470374,25.37,43.1
-11.99974,4285.2044000000005,1.8802401548739027,25.31,43.0
-12.49974,4288.77888,1.3277189844238322,25.37,43.0
-12.99974,4290.394439999999,1.7036202259894457,25.37,43.0
-13.49973,4294.400020000001,1.386708262613394,25.37,42.9
-13.99973,4298.3162600000005,2.2397805219262317,25.37,42.9
-14.49973,4301.665279999999,0.7486470073406241,25.37,42.9
-14.99973,4305.82448,1.9671322898066372,25.37,42.8
-15.49972,4306.216340000001,2.5442825893363246,25.37,42.8
-15.99972,4310.3836599999995,1.824751406192143,25.37,42.8
-16.49972,4311.48692,1.6353402415400726,25.37,42.9
-16.99972,4314.25836,2.4662998792521993,25.37,42.8
-17.49971,4319.29212,2.106827064948507,25.37,42.8
-17.99971,4322.956840000001,1.338673819270353,25.37,42.8
-18.49971,4326.24302,2.3492025799406835,25.37,42.9
-18.99971,4329.9551,1.9423700533112724,25.37,42.9
-19.4997,4337.11528,1.5715857958126285,25.37,42.9
-19.9997,4334.56582,2.507829079024448,25.37,42.9
-20.4997,4343.5946,1.4781515172673267,25.37,42.9
-20.9997,4343.60938,1.8913927422931582,25.37,42.9
-21.49969,4348.31638,1.9167810771187854,25.37,42.8
-21.99969,4349.6473000000005,0.7985748305576953,25.37,42.9
-22.49969,4354.91136,0.6571001281387067,25.37,42.8
-22.99969,4361.66058,1.6686064417951207,25.37,42.8
-23.49968,4358.8464,1.641130049691427,25.37,42.8
-23.99968,4366.28926,3.2227877811608776,25.37,42.8
-24.49968,4366.91284,2.4721063970631376,25.43,42.8
-24.99968,4370.368759999999,2.017484443161686,25.37,42.8
-25.49967,4377.017699999999,1.2307932629001874,25.43,42.8
-25.99967,4378.71176,2.052427501862231,25.43,42.8
-26.49967,4381.0937,3.772350985791165,25.43,42.7
-26.99967,4389.04372,1.899435587115216,25.43,42.7
-27.49966,4392.653380000001,1.8287430047986066,25.43,42.7
-27.99966,4396.54926,1.5194298451720223,25.43,42.6
-28.49966,4396.0908,2.7789925102454744,25.43,42.7
-28.99966,4400.000999999999,1.9323860473517238,25.43,42.7
-29.49965,4405.451459999999,2.2176151998036997,25.43,42.7
-29.99965,4409.3205,1.5881425628700157,25.43,42.7
-30.49965,4413.456319999999,0.5937138785645509,25.43,42.7
-30.99965,4415.336399999999,1.655954657591807,25.43,42.8
-31.49965,4420.40724,1.9143503342910517,25.43,42.7
-31.99964,4423.38088,1.8562227823189787,25.43,42.8
-32.49964,4429.21292,1.2437723672762244,25.43,42.8
-32.99964,4428.471800000001,1.4725242816333883,25.43,42.8
-33.49963,4436.4328000000005,2.1928360440306895,25.43,42.8
-33.99963,4442.08374,1.5245503253090362,25.43,42.7
-34.49963,4441.12434,2.3386447961158328,25.43,42.7
-34.99963,4449.90714,1.426578336580304,25.43,42.7
-35.49963,4449.36036,1.9102577214607492,25.43,42.6
-35.99962,4453.701080000001,0.9431296483516107,25.43,42.7
-36.49962,4461.40466,2.3939972644930467,25.43,42.7
-36.99962,4462.80414,2.1719469953016906,25.43,42.6
-37.49961,4467.95524,1.8595608100837924,25.43,42.7
-37.99961,4473.9662,0.7778067626347156,25.43,42.6
-38.49961,4475.7575799999995,1.2278165130018397,25.43,42.6
-38.99961,4482.4492,2.255051780336558,25.5,42.6
-39.4996,4486.344320000001,1.3725136333021004,25.5,42.6
-39.9996,4492.358480000001,2.397681969236217,25.43,42.6
